date,time,lat,lon,speed
2016-04-02,14:49:32,31.748615,34.995309,5
2016-04-02,14:49:34,31.748589,34.995324,5
2016-04-02,14:49:35,31.748575,34.995324,5
2016-04-02,14:49:36,31.748561,34.995322,5
2016-04-02,14:49:38,31.748542,34.995312,5
2016-04-02,14:49:40,31.748528,34.995294,5
2016-04-02,14:49:41,31.748518,34.995285,5
2016-04-02,14:49:42,31.748505,34.995277,5
2016-04-02,14:49:44,31.748476,34.995258,5
2016-04-02,14:49:46,31.748448,34.995235,5
2016-04-02,14:49:48,31.748422,34.995213,5
2016-04-02,14:49:49,31.748406,34.9952,5
2016-04-02,14:49:50,31.748398,34.995192,5
2016-04-02,14:49:52,31.748382,34.995179,5
2016-04-02,14:49:53,31.748378,34.99518,5
2016-04-02,14:49:54,31.748367,34.995177,5
2016-04-02,14:49:55,31.748356,34.995176,5
2016-04-02,14:49:57,31.748328,34.99517,5
2016-04-02,14:49:59,31.748301,34.995148,5
2016-04-02,14:50:01,31.748276,34.995124,5
2016-04-02,14:50:03,31.748254,34.995088,5
2016-04-02,14:50:04,31.748243,34.995071,5
2016-04-02,14:50:06,31.748218,34.995035,5
2016-04-02,14:50:07,31.748204,34.995016,5
2016-04-02,14:50:09,31.748175,34.994973,5
2016-04-02,14:50:10,31.748155,34.994948,5
2016-04-02,14:50:12,31.748112,34.994891,5
2016-04-02,14:50:14,31.748055,34.994814,4
2016-04-02,14:50:16,31.748,34.994731,4
2016-04-02,14:50:17,31.747979,34.994691,4
2016-04-02,14:50:19,31.747958,34.994618,4
2016-04-02,14:50:21,31.747947,34.994564,4
2016-04-02,14:50:22,31.747959,34.994577,4
2016-04-02,14:50:24,31.747963,34.994571,4
2016-04-02,14:50:26,31.747948,34.994565,4
2016-04-02,14:50:27,31.747935,34.994567,4
2016-04-02,14:50:29,31.747912,34.994567,4
2016-04-02,14:50:31,31.747905,34.99455,4
2016-04-02,14:50:33,31.747893,34.994548,4
2016-04-02,14:50:35,31.747879,34.994543,4
2016-04-02,14:50:37,31.747865,34.994542,4
2016-04-02,14:50:39,31.74785,34.994534,4
2016-04-02,14:50:41,31.747838,34.994528,4
2016-04-02,14:50:43,31.747829,34.99452,4
2016-04-02,14:50:45,31.747817,34.994507,4
2016-04-02,14:50:47,31.747803,34.994491,4
2016-04-02,14:50:48,31.747799,34.994479,4
2016-04-02,14:50:50,31.74779,34.994449,4
2016-04-02,14:50:51,31.747784,34.994434,4
2016-04-02,14:50:52,31.747786,34.994425,4
2016-04-02,14:50:53,31.747786,34.994413,4
2016-04-02,14:50:54,31.747787,34.994407,4
2016-04-02,14:50:56,31.74777,34.994409,4
2016-04-02,14:50:58,31.747774,34.994448,4
2016-04-02,14:51:00,31.747763,34.994464,4
2016-04-02,14:51:01,31.747765,34.994422,4
2016-04-02,14:51:03,31.747768,34.994374,4
2016-04-02,14:51:04,31.747768,34.99435,4
2016-04-02,14:51:06,31.747759,34.994306,4
2016-04-02,14:51:07,31.747753,34.994285,4
